TAC;DEVICE_TYPE
314490092;Smartphone
1862696590;Smartphone
-1278049995;Smartphone
-1961379469;Smartphone
601201902;Smartphone
-2082849697;Voice_centered
-1716593070;Smartphone
715456606;Voice_centered
431196869;Smartphone
216789854;Smartphone
-1311838024;Data_only
1691029564;Voice_centered
1693589069;Smartphone
1580348790;Smartphone
-1382055061;Smartphone
650517762;Smartphone
-271871476;Smartphone
-1189407855;Voice_centered
1571214212;Feature_plus
-1373037056;Voice_centered
112434768;Feature_plus
-2035089688;Smartphone
1731573445;Feature_plus
2046217256;Smartphone
1686415003;Voice_centered
-1096308342;Smartphone
-1589978003;Tablets
1846166828;Tablets
-557521642;Voice_centered
-498145204;Voice_centered
-2034914123;Feature_plus
1034182240;Voice_centered
-1038880055;Voice_centered
1458662941;Voice_centered
269481630;Voice_centered
-691735171;Tablets
1695520294;Data_only
263291667;Smartphone
2037011843;Smartphone
269675705;Smartphone
1952872190;Smartphone
-1686429478;Smartphone
834349712;Smartphone
1428100249;Voice_centered
214875150;Smartphone
-626048164;Smartphone
-820332259;Smartphone
-822830108;Smartphone
1398820440;Smartphone
-934779734;Smartphone
167989380;Voice_centered
-1545795109;Voice_centered
-433865771;Voice_centered
621726268;Feature_plus
974229144;Feature_plus
-1283966101;Feature_plus
-1078810497;Voice_centered
932997969;Feature_plus
-1265985067;Smartphone
-1925919307;Feature_plus
1524381815;Smartphone
1745376309;Smartphone
1781754470;Feature_plus
-1978155631;Feature_plus
-195425978;Tablets
-635501159;Voice_centered
249783298;Smartphone
-640167937;Smartphone
902570752;Voice_centered
292166411;Voice_centered
1244637287;Smartphone
-1025887959;Feature_plus
1283594995;Voice_centered
-1096008742;Smartphone
-1667806605;Voice_centered
-856512880;Smartphone
-288298807;Voice_centered
1739861529;Smartphone
786634112;Smartphone
-752506132;Smartphone
119061407;Smartphone
-1680083247;Voice_centered
-1976213145;Voice_centered
-1937772857;Tablets
-245312456;Voice_centered
-1295953075;Smartphone
1749089358;Smartphone
237761581;Smartphone
386385204;Smartphone
618544921;Voice_centered
1188147423;Voice_centered
-578310361;Tablets
1933372016;Smartphone
2025727836;Smartphone
1792671344;Feature_plus
-1591243450;Smartphone
-1096435081;Tablets
1636462417;Smartphone
-658635815;Tablets
1989095806;Smartphone
1794477967;Smartphone
-399342523;Feature_plus
656507973;Voice_centered
-1453726276;Voice_centered
353883764;Voice_centered
1413032284;Voice_centered
2143836414;Smartphone
-634894160;Smartphone
-460698793;Data_only
2002286455;Smartphone
-1020718053;Smartphone
-468059365;Smartphone
1619736652;Smartphone
964978553;Smartphone
597253905;Voice_centered
-712003954;Smartphone
-1110356495;Voice_centered
-1292115834;Voice_centered
-1878752269;Voice_centered
802699912;Smartphone
393316308;Feature_plus
12675651;Feature_plus
-940891011;Smartphone
1862665976;Feature_plus
-1299541238;Smartphone
-682810281;Voice_centered
-1305225172;Feature_plus
691951532;Data_only
1143119870;Smartphone
600745524;Smartphone
-887958190;Smartphone
-1090378764;Voice_centered
-712030125;Feature_plus
1174172845;Smartphone
361158719;Smartphone
-1202232857;Smartphone
350218601;Smartphone
-1477129299;Smartphone
386811618;Feature_plus
1400663;Voice_centered
-565022684;Voice_centered
-1079261639;Smartphone
197147596;Data_only
447566164;Smartphone
-1134233375;Smartphone
-1075373293;Smartphone
-1629668743;Smartphone
374017393;Smartphone
-276951165;Feature_plus
1698581701;Smartphone
-1832814525;Voice_centered
-1361104167;Smartphone
-633821967;Smartphone
-357886781;Smartphone
929835779;Voice_centered
-1220341797;Smartphone
504300225;Feature_plus
1870743326;Smartphone
-1320327779;Feature_plus
-1976200170;Smartphone
-1281842027;Smartphone
2033344267;Voice_centered
-296775916;Voice_centered
65755330;Voice_centered
-568452314;Voice_centered
-2145622241;Smartphone
116052816;Smartphone
231941806;Smartphone
-719740166;Smartphone
-1037665648;Smartphone
-1341736307;Smartphone
388664412;Smartphone
-74896629;Smartphone
1802392420;Smartphone
338124977;Smartphone
659530880;Smartphone
276280370;Smartphone
-386608668;Smartphone
38169460;Smartphone
-253851918;Tablets
310167439;Voice_centered
-1063620471;Voice_centered
-973754119;Voice_centered
-1431357071;Voice_centered
1535464145;Smartphone
84779609;Voice_centered
-1760266351;Smartphone
-1949710181;Smartphone
-1178376710;Feature_plus
-998014272;Voice_centered
2083224620;Smartphone
2105990187;Smartphone
-10836352;Feature_plus
-2029279750;Voice_centered
-587723638;Smartphone
-307502363;Data_only
-1614284390;Voice_centered
691418889;Feature_plus
1716981282;Smartphone
502207036;Feature_plus
-576590171;Voice_centered
1007476126;Feature_plus
-1356090902;Feature_plus
-546482389;Feature_plus
-829450891;Smartphone
615420411;Voice_centered
985765105;Feature_plus
-1021126460;Feature_plus
-1393489209;Smartphone
411018889;Smartphone
-549780669;Feature_plus
548491312;Smartphone
217094586;Smartphone
-863064541;Smartphone
1590315848;Feature_plus
-1575421990;Smartphone
-1989666496;Smartphone
-375076857;Smartphone
2135627452;Smartphone
-1547093169;Smartphone
788090435;Voice_centered
-1104895176;Feature_plus
5341853;Feature_plus
1125455310;Smartphone
-191524838;Feature_plus
-1225719344;Smartphone
-622715196;Tablets
1008124004;Voice_centered
-452200488;Feature_plus
-180851047;Smartphone
1858954231;Feature_plus
-1577269363;Voice_centered
-2139666652;Smartphone
-680594549;Smartphone
-1343005646;Smartphone
-1793581388;Smartphone
613616807;Smartphone
-1795871555;Data_only
142649429;Smartphone
1056776538;Smartphone
378114318;Smartphone
-1687385578;Smartphone
1550810141;Smartphone
168226175;Voice_centered
1336953321;Feature_plus
-448741688;Feature_plus
15803457;Voice_centered
1755310166;Feature_plus
-1000828284;Voice_centered
427153184;Feature_plus
-937176846;Feature_plus
-1806050594;Smartphone
-1999478020;Data_only
-1283554365;Smartphone
-1448766309;Feature_plus
1663326230;Feature_plus
1191448765;Feature_plus
-440308739;Smartphone
523602200;Feature_plus
391812123;Tablets
-1142930314;Feature_plus
1490060747;Smartphone
512356693;Feature_plus
-1476169880;Feature_plus
1886966331;Smartphone
-1357596352;Smartphone
799505275;Smartphone
1014534378;Feature_plus
-2062784892;Feature_plus
1090823092;Feature_plus
-475507143;Voice_centered
-577622770;Feature_plus
-1237796546;Smartphone
-770729029;Tablets
967764998;Smartphone
-1555881911;Feature_plus
-657650580;Feature_plus
-401184603;Smartphone
1927367292;Voice_centered
1927156723;Feature_plus
1797221157;Feature_plus
27445814;Smartphone
2015984628;Smartphone
-959529140;Tablets
-903135103;Smartphone
-1189140010;Smartphone
-807740286;Smartphone
775166916;Feature_plus
-1231849459;Feature_plus
183316192;Smartphone
-2055282589;Smartphone
1970251370;Feature_plus
-354424079;Voice_centered
-1899514356;Voice_centered
-863379260;Smartphone
-532478188;Smartphone
-158112125;Smartphone
1421121484;Smartphone
676870698;Smartphone
962604683;Smartphone
1100498722;Smartphone
-1476019360;Data_only
1529844897;Smartphone
1645596803;Voice_centered
108279208;Voice_centered
-1378527805;Feature_plus
269168260;Voice_centered
1147366938;Smartphone
836025267;Smartphone
-1121851439;Feature_plus
-922278140;Voice_centered
-84761273;Smartphone
-1914458910;Feature_plus
1618261343;Data_only
1086653364;Feature_plus
-696578142;Smartphone
-8350412;Smartphone
873550181;Smartphone
596585949;Smartphone
534209664;Smartphone
1540201472;Smartphone
-1668067404;Smartphone
1077215636;Feature_plus
1611762232;Smartphone
2082078914;Smartphone
101198575;Smartphone
709585897;Tablets
407218893;Voice_centered
-344798278;Feature_plus
-1020612773;Feature_plus
-550829759;Feature_plus
-1313164083;Feature_plus
1260958029;Tablets
-319480515;Smartphone
1074641808;Smartphone
-1702132240;Smartphone
-499482019;Smartphone
1653225081;Feature_plus
-2033760764;Voice_centered
-2095504887;Smartphone
1996088925;Feature_plus
452583428;Voice_centered
4854794;Feature_plus
1932297965;Smartphone
1190293643;Feature_plus
616154747;Voice_centered
1255986157;Voice_centered
-1395361156;Voice_centered
-2004546057;Voice_centered
-1079742240;Voice_centered
-186701368;Voice_centered
-1071427487;Voice_centered
1540036370;Voice_centered
-1990218108;Voice_centered
-320650605;Feature_plus
-246169114;Voice_centered
1045098063;Data_only
-800781917;Smartphone
221441818;Smartphone
-139028669;Smartphone
869562786;Data_only
479393499;Smartphone
1603725415;Smartphone
-629464041;Smartphone
1548287134;Data_only
1198642777;Voice_centered
-737850179;Voice_centered
1329996887;Voice_centered
1192959522;Smartphone
1555528200;Voice_centered
-193496871;Smartphone
-1084795713;Voice_centered
-383768950;Voice_centered
-1660048933;Feature_plus
-930482117;Smartphone
-1597153374;Smartphone
407327714;Smartphone
445868135;Feature_plus
-154811476;Smartphone
635186324;Tablets
1242856637;Feature_plus
1391455543;Smartphone
194676428;Voice_centered
936864228;Smartphone
707270332;Smartphone
-1633416340;Smartphone
2011063594;Voice_centered
-1945852831;Feature_plus
1939676076;Smartphone
-1683716050;Data_only
-1470980420;Voice_centered
463887580;Voice_centered
-1447857673;Smartphone
-96022981;Smartphone
217109192;Smartphone
532706412;Smartphone
1072926481;Feature_plus
1361315139;Feature_plus
-269942849;Smartphone
-1020501318;Voice_centered
-1712625650;Feature_plus
-105862775;Voice_centered
-1478206599;Voice_centered
-1366848417;Voice_centered
-1179935519;Smartphone
-1838034380;Voice_centered
402446766;Smartphone
-1460099568;Smartphone
-1065563066;Feature_plus
827173766;Smartphone
2111130805;Feature_plus
-1053531616;Voice_centered
957799170;Tablets
-648625566;Smartphone
406973897;Voice_centered
1774079648;Smartphone
191766930;Smartphone
1043382174;Voice_centered
1452008037;Voice_centered
-411712752;Voice_centered
1256158554;Smartphone
-2068470198;Smartphone
-1350913802;Smartphone
-800221735;Smartphone
-1871680145;Smartphone
1361217915;Smartphone
-2022495408;Smartphone
1205172296;Feature_plus
782418224;Voice_centered
-1078753281;Voice_centered
768913049;Smartphone
-1489041625;Data_only
-78003399;Feature_plus
-837465735;Feature_plus
1126544682;Feature_plus
-1472050997;Smartphone
-1206425454;Smartphone
-1660943416;Smartphone
-900707008;Smartphone
-18393491;Smartphone
-1569242398;Smartphone
833047522;Smartphone
-482495982;Smartphone
-2145137413;Smartphone
384814988;Smartphone
-1290300341;Voice_centered
1067469129;Voice_centered
-1441359335;Voice_centered
-1653215614;Feature_plus
2021718998;Feature_plus
1893263727;Smartphone
242474410;Smartphone
2085357858;Voice_centered
-1249551941;Smartphone
-1732581954;Data_only
-924145897;Voice_centered
196254844;Smartphone
-328485308;Feature_plus
-1741166796;Tablets
-1222129905;Smartphone
1100550557;Smartphone
774089643;Voice_centered
789615878;Smartphone
-623120289;Smartphone
-240787638;Feature_plus
-5642010;Smartphone
-791357483;Smartphone
-1423090213;Smartphone
1886245982;Voice_centered
1542995796;Voice_centered
-1561085974;Voice_centered
626442645;Voice_centered
1629548857;Smartphone
1793294600;Feature_plus
-1562324602;Smartphone
-1194897753;Smartphone
1525128966;Data_only
-317571574;Feature_plus
-1300659655;Smartphone
-41402370;Smartphone
1699931;Smartphone
497786513;Smartphone
-1522368710;Smartphone
1254051529;Voice_centered
-81134351;Smartphone
-1298538185;Smartphone
2103545583;Smartphone
111901107;Smartphone
-518642303;Smartphone
-196417968;Smartphone
-962526668;Feature_plus
-1926675861;Smartphone
-652453115;Data_only
1728082320;Feature_plus
-833896680;Feature_plus
-1761621230;Feature_plus
-824554419;Feature_plus
1215625186;Smartphone
855729034;Voice_centered
-633521633;Smartphone
-89448890;Smartphone
-284857613;Feature_plus
-28186444;Smartphone
-1765286341;Feature_plus
1558176515;Voice_centered
-695973514;Smartphone
1638012369;Voice_centered
-341678473;Smartphone
-1195694629;Voice_centered
931790072;Smartphone
-1107614033;Smartphone
1548334446;Smartphone
-1582992319;Smartphone
-889861235;Voice_centered
1300155504;Voice_centered
2132664269;Feature_plus
-854431991;Smartphone
-2132382778;Tablets
771472528;Smartphone
-1408752054;Feature_plus
-1814897441;Voice_centered
1816555716;Voice_centered
1777239973;Data_only
-1384186819;Tablets
1235795612;Smartphone
-1040102773;Smartphone
1269741241;Smartphone
842444334;Smartphone
1052822489;Voice_centered
-2054939815;Feature_plus
1783716992;Smartphone
-1267241995;Voice_centered
-302613212;Voice_centered
861527927;Voice_centered
1037405569;Smartphone
-174317968;Smartphone
-241021129;Data_only
-1391270773;Tablets
1438736166;Smartphone
-1399663757;Smartphone
893815365;Smartphone
398622098;Smartphone
799001293;Smartphone
-846292738;Smartphone
811559157;Smartphone
2105686736;Smartphone
-909272074;Smartphone
1171713895;Smartphone
-14855630;Smartphone
-495116531;Smartphone
1363013083;Smartphone
1893835952;Smartphone
-604998333;Smartphone
2035500771;Voice_centered
-463939505;Feature_plus
-2055004504;Feature_plus
84108766;Smartphone
-1198444949;Feature_plus
1062800712;Feature_plus
-302539851;Feature_plus
-809866650;Feature_plus
-755103639;Smartphone
104025434;Tablets
-1398313661;Feature_plus
-1615457276;Smartphone
-1421541392;Feature_plus
326853767;Smartphone
-991808657;Voice_centered
961169330;Smartphone
1620065641;Smartphone
820795862;Smartphone
325325696;Smartphone
142615195;Smartphone
1648564066;Smartphone
-1848836177;Smartphone
-223186248;Smartphone
1441392527;Smartphone
2143836674;Feature_plus
-1998512051;Smartphone
1101705987;Feature_plus
-218364064;Feature_plus
820341072;Smartphone
923245499;Voice_centered
2137997493;Smartphone
551329594;Feature_plus
209574361;Smartphone
1077725541;Feature_plus
34083480;Smartphone
-1397158473;Data_only
1814587125;Smartphone
1301537828;Smartphone
-1123449215;Smartphone
-139192909;Smartphone
534450627;Feature_plus
933695219;Smartphone
1170672122;Data_only
-1623989591;Smartphone
-2042126635;Smartphone
1431325762;Smartphone
-1579707206;Voice_centered
1627034289;Voice_centered
1608416100;Voice_centered
-492682477;Voice_centered
1866176298;Smartphone
446538319;Smartphone
-449477481;Smartphone
-783317099;Smartphone
1351996759;Smartphone
1487419663;Smartphone
1319392220;Smartphone
-1427638969;Smartphone
1623210096;Smartphone
-1385099469;Smartphone
461975325;Voice_centered
1635211289;Voice_centered
-2074205885;Voice_centered
2099674926;Feature_plus
1702836076;Voice_centered
-937663554;Voice_centered
-1733985754;Voice_centered
-224057633;Smartphone
-1577998340;Smartphone
959732558;Smartphone
1385237150;Voice_centered
-436969628;Voice_centered
-1872170996;Smartphone
1063816462;Smartphone
-818632653;Smartphone
1338726070;Tablets
1357124542;Feature_plus
1203858132;Smartphone
-1651043897;Voice_centered
-1688378968;Smartphone
994227828;Voice_centered
-787215047;Smartphone
-576500159;Smartphone
-61374683;Feature_plus
-1131493311;Tablets
-1014116457;Voice_centered
-1474891055;Tablets
1732117594;Feature_plus
-409995523;Feature_plus
-2065361638;Smartphone
1646482407;Smartphone
1342148716;Voice_centered
1446369992;Smartphone
67180499;Smartphone
1435913901;Smartphone
238165691;Smartphone
712415182;Feature_plus
620045855;Smartphone
-170000741;Feature_plus
-1447069620;Smartphone
782870912;Smartphone
-1704827554;Voice_centered
-2033553560;Smartphone
68011651;Smartphone
672877236;Feature_plus
-77791092;Feature_plus
563892466;Voice_centered
1199788501;Voice_centered
1901925491;Voice_centered
1896580941;Data_only
-236516384;Smartphone
1718059234;Smartphone
-1844045470;Smartphone
-203124212;Smartphone
-1647665611;Smartphone
387667013;Smartphone
954129102;Smartphone
923820777;Smartphone
-1117982675;Data_only
-1364624160;Smartphone
-1507284132;Data_only
-1212795571;Smartphone
1566896850;Tablets
-844513791;Smartphone
-860725034;Voice_centered
268168574;Voice_centered
-2105739226;Voice_centered
107294929;Feature_plus
697689654;Feature_plus
558818047;Smartphone
1363454056;Voice_centered
-1085522651;Smartphone
-66756595;Smartphone
-1551713499;Smartphone
1636300123;Smartphone
-870812835;Tablets
-910672159;Smartphone
-77988878;Smartphone
806405007;Feature_plus
-246807652;Feature_plus
921494673;Smartphone
1985116059;Feature_plus
-128911213;Smartphone
443936879;Smartphone
1204318445;Smartphone
512688923;Smartphone
-565259328;Feature_plus
-1574792307;Smartphone
-1454129913;Smartphone
-1894971216;Smartphone
-584977845;Smartphone
-67013719;Feature_plus
-473142427;Feature_plus
1405063592;Feature_plus
351580119;Feature_plus
490284623;Feature_plus
729139653;Smartphone
1684828146;Feature_plus
-1513622291;Smartphone
-2007452864;Feature_plus
510443594;Voice_centered
1788764410;Voice_centered
1919524560;Voice_centered
2014768788;Voice_centered
-1572116041;Voice_centered
310974785;Smartphone
716116654;Smartphone
1137356383;Smartphone
1352681216;Smartphone
978576945;Smartphone
425835190;Smartphone
880582446;Smartphone
-1053658491;Smartphone
1813013496;Smartphone
903873240;Smartphone
1312975164;Smartphone
-753151259;Data_only
-680135505;Smartphone
1901621130;Data_only
2145020825;Data_only
978571064;Smartphone
485502985;Data_only
-969760248;Data_only
1169005455;Smartphone
1628090874;Smartphone
1255203988;Feature_plus
-61504353;Feature_plus
-2041949474;Tablets
-307911145;Smartphone
1415010843;Smartphone
1868049952;Smartphone
-1763626972;Smartphone
771775386;Feature_plus
1467506064;Feature_plus
-1257378019;Voice_centered
-601554828;Tablets
916483603;Tablets
1264852369;Data_only
-1077387802;Smartphone
279778789;Smartphone
434553616;Smartphone
603694930;Voice_centered
-1148506654;Smartphone
665140818;Smartphone
1015684376;Smartphone
613661938;Voice_centered
933882009;Feature_plus
684852363;Voice_centered
-1734379591;Voice_centered
1367774671;Voice_centered
808761922;Voice_centered
-61665706;Smartphone
513326742;Smartphone
178388562;Feature_plus
2118913704;Smartphone
213868264;Voice_centered
1310667450;Smartphone
1510502243;Smartphone
1730586764;Smartphone
-971254129;Smartphone
-1622682101;Smartphone
1859404558;Voice_centered
-241319714;Smartphone
21395450;Feature_plus
-1747240281;Feature_plus
1904944680;Voice_centered
-1282278658;Voice_centered
-1804821595;Feature_plus
-1893252981;Smartphone
2138361832;Feature_plus
-1141001063;Smartphone
866640128;Voice_centered
190351416;Smartphone
1929452059;Feature_plus
1384606623;Smartphone
1336583174;Voice_centered
-250885306;Voice_centered
145523695;Voice_centered
1142286859;Smartphone
-565209079;Data_only
874930679;Smartphone
960922880;Tablets
-2076062192;Smartphone
-32384248;Voice_centered
-1336905564;Smartphone
881365489;Smartphone
-805082727;Voice_centered
-1773023899;Voice_centered
-1245316692;Smartphone
1200095845;Voice_centered
1030011039;Smartphone
-1209923880;Voice_centered
-473682354;Feature_plus
-562820226;Smartphone
439038232;Voice_centered
-997730825;Feature_plus
1608869210;Smartphone
-102379514;Voice_centered
2085855823;Smartphone
246998822;Smartphone
769701074;Smartphone
-1359161657;Smartphone
1113743401;Voice_centered
96146894;Feature_plus
1246416940;Smartphone
-2086894299;Data_only
-317525538;Feature_plus
939642018;Smartphone
73841801;Feature_plus
465742605;Smartphone
-1254355829;Smartphone
-12750045;Smartphone
1639315160;Smartphone
167530944;Feature_plus
-1144376550;Smartphone
1503407146;Voice_centered
1491592436;Feature_plus
1623384105;Feature_plus
-386685171;Smartphone
688910815;Voice_centered
-746998286;Voice_centered
691570480;Smartphone
-1780989374;Smartphone
313411620;Voice_centered
2118398974;Feature_plus
-324343600;Voice_centered
-387590972;Voice_centered
-1311822249;Voice_centered
1386417214;Feature_plus
681234989;Smartphone
-1813980136;Smartphone
-469445255;Voice_centered
1408636431;Smartphone
2050599826;Feature_plus
1839840586;Smartphone
875000782;Voice_centered
1076463853;Voice_centered
-280891647;Voice_centered
-2075653846;Voice_centered
-1923682546;Voice_centered
-1885577121;Smartphone
1466562665;Smartphone
-122773651;Smartphone
-601312231;Tablets
-1001633102;Smartphone
-673214112;Data_only
-344512865;Smartphone
-278848934;Data_only
523746074;Feature_plus
2051164444;Voice_centered
152796307;Smartphone
1383359552;Feature_plus
953304454;Voice_centered
1544083361;Feature_plus
893917325;Tablets
32202745;Tablets
645691224;Smartphone
-1505953807;Feature_plus
434202423;Smartphone
1759812510;Data_only
-225719706;Voice_centered
-507273964;Smartphone
-1682163996;Feature_plus
1490296957;Smartphone
-1899779929;Voice_centered
580284799;Smartphone
-847722909;Feature_plus
1415225962;Voice_centered
354686856;Feature_plus
2086161882;Smartphone
-1853574761;Smartphone
-1715578089;Smartphone
-1012582456;Smartphone
1283342402;Data_only
1938308702;Smartphone
1219804406;Feature_plus
-68834264;Feature_plus
-393747317;Smartphone
2069012100;Smartphone
-273502633;Smartphone
599338312;Feature_plus
-836156969;Smartphone
-381587440;Smartphone
1174738017;Smartphone
434984993;Smartphone
-280763171;Smartphone
671343363;Smartphone
711338433;Feature_plus
1671724857;Feature_plus
237411611;Smartphone
723682367;Voice_centered
1753466622;Smartphone
-2044309496;Smartphone
1214725640;Smartphone
-415700021;Voice_centered
-1600881095;Voice_centered
-425769590;Voice_centered
-1654100740;Voice_centered
-975488861;Smartphone
1759960241;Data_only
-1572284109;Smartphone
1632965173;Voice_centered
-865576809;Smartphone
243598033;Smartphone
921728729;Smartphone
-2089013243;Data_only
1894218763;Smartphone
984215362;Smartphone
-236498295;Tablets
-2098848506;Tablets
-1900087936;Voice_centered
680343621;Voice_centered
-540952847;Voice_centered
1324702564;Voice_centered
1856667943;Voice_centered
138727268;Voice_centered
2060458107;Feature_plus
510001600;Voice_centered
-1643718101;Feature_plus
-1136887440;Feature_plus
-1690015328;Smartphone
-1286161202;Smartphone
-500715530;Feature_plus
-989708801;Feature_plus
1821111444;Smartphone
1077725796;Smartphone
632315018;Smartphone
1335366631;Voice_centered
-614163145;Smartphone
741289045;Smartphone
256994363;Smartphone
-681393394;Smartphone
1361951183;Feature_plus
-1117368124;Smartphone
1832306381;Tablets
276520909;Data_only
-886157692;Voice_centered
1458745138;Voice_centered
-1737182582;Tablets
757880803;Feature_plus
648407133;Voice_centered
792116980;Smartphone
157981798;Voice_centered
-417389499;Tablets
96921244;Voice_centered
-551047393;Voice_centered
-1417698538;Voice_centered
-83987340;Smartphone
55547935;Voice_centered
2068248557;Voice_centered
474203674;Voice_centered
469323645;Voice_centered
-455175812;Smartphone
-505255536;Smartphone
-50209433;Smartphone
1327834804;Smartphone
-269759021;Smartphone
-2039056479;Smartphone
154079820;Smartphone
1742061833;Smartphone
626508055;Smartphone
-1293777914;Smartphone
2066586776;Smartphone
-1455065209;Tablets
1713853890;Smartphone
675624389;Smartphone
1862409231;Voice_centered
1807103043;Smartphone
1241551310;Smartphone
-1401864581;Smartphone
663109270;Voice_centered
1069807885;Voice_centered
-1655570249;Smartphone
-1832418396;Voice_centered
258601550;Smartphone
-1983016937;Feature_plus
-900495915;Voice_centered
1797805991;Feature_plus
158083532;Voice_centered
1923774222;Voice_centered
1607640080;Feature_plus
-585033715;Voice_centered
-2034511821;Voice_centered
-312725851;Smartphone
-1671251572;Smartphone
749633131;Smartphone
1737806167;Feature_plus
1545468433;Feature_plus
328465341;Smartphone
-733001398;Voice_centered
1952932943;Smartphone
-1658527214;Smartphone
-1321655237;Smartphone
-1569838978;Smartphone
1151317237;Smartphone
68842854;Feature_plus
917578242;Smartphone
-1401862734;Smartphone
1593196051;Voice_centered
-458938045;Voice_centered
-1489879687;Voice_centered
1085652143;Tablets
-177361813;Voice_centered
-205938891;Data_only
-222838976;Feature_plus
93018267;Smartphone
1822428757;Voice_centered
441542715;Feature_plus
619226312;Smartphone
1627008748;Smartphone
-1197214636;Smartphone
-1847938336;Smartphone
-1331321140;Smartphone
-814112362;Smartphone
-1689710745;Smartphone
-1389113543;Voice_centered
1973731004;Voice_centered
